Country;Year;rule_of_law;GDP_blnUSD;GDP_per_capita_tUSD;Population
Sweden;2022;0.857421303;660.918;62.6501337;10549347
Tanzania;2022;0.461344542;74.536;1.137993325;65497748
Thailand;2022;0.495275408;585.586;8.167507078;71697030
The Bahamas;2022;0.605467575;0;0;409984
The Gambia;2022;0.487403427;0;0;2705992
Togo;2022;0.458786996;9.357;1.057443586;8848699
Trinidad and Tobago;2022;0.522788504;23.082;15.07598737;1531044
Tunisia;2022;0.518380966;45.454;3.678663774;12356117
Turkey;2022;0.416906528;0;0;85341241
Uganda;2022;0.390533803;47;0.994717731;47249585
Ukraine;2022;0.499652526;203.925;5.136424881;39701739
UAE;2022;0.633819721;427.93;45.3261469;9441129
UK;2022;0.787744034;3442.21;50.98895352;67508936
US;2022;0.707235208;24796.08;73.29832535;338289857
Uruguay;2022;0.713883843;63.741;18.62250547;3422794
Uzbekistan;2022;0.496015715;72.762;2.101268662;34627652
Vietnam;2022;0.489194975;415.493;4.231656017;98186856
Zambia;2022;0.449880867;23.967;1.197291893;20017675
Zimbabwe;2022;0.391414203;27.806;1.703742959;16320537
